软件名称,软件版本,依赖软件数,开发商,官网地址
AndroidX Core,1.6.0,0,google,https://developer.android.com/jetpack/androidx/releases/core
AndroidX Databinding,7.0.4,26,Google,https://developer.android.google.cn/topic/libraries/data-binding
AndroidX Exifinterface,1.3.3,1,Android,https://developer.android.com/jetpack/androidx/
AndroidX Fragment,1.4.1,18,google,https://developer.android.com/jetpack/androidx/releases/fragment
AndroidX Paging,3.1.1,24,google,https://developer.android.com/jetpack/androidx/releases/paging
AndroidX RecyclerView,1.2.1,7,google,https://developer.android.com/jetpack/androidx/releases/recyclerview
AndroidX Room,2.4.2,16,google,https://developer.android.com/jetpack/androidx/releases/room
AndroidX Security,1.0.0,2,Android Developers,https://developer.android.google.cn/jetpack/androidx/releases/security?hl=zh-cn
AndroidX SwipeRefreshLayout,1.1.0,8,google,https://developer.android.com/jetpack/androidx/releases/swiperefreshlayout
AndroidX Test Espresso,3.4.0,0,google,https://developer.android.com/testing
angular,10.0.11,110,angular,https://angular.io
angular.js,1.8.0,0,Google,https://angularjs.org
angular2gridster,v10.0.0,0,swiety85,https://github.com/swiety85/angular2gridster
Animal Sniffer,1.20,40,mojohaus,https://www.mojohaus.org/animal-sniffer/animal-sniffer-maven-plugin/
animate.css,v4.1.1,0,Animate.css Team,https://animate.style/
aniso8601,9.0.1,0,Brandon Nielsen,https://pypi.python.org/pypi/aniso8601/
ansible,v2.11.9,10,redhat,https://www.ansible.com
ant-design,4.19.2,61,Ant UED,https://ant.design
ant-design-mobile,5.10.1,51,alibaba,https://mobile.ant.design
ant-design-mobile-rn,5.0.0,206,ant-design,https://github.com/ant-design/ant-design-mobile-rn
ant-design/compatible,1.0.8,54,Ant Design Team,https://github.com/ant-design/compatible
ANTLR,4.9.2,23,antlr,http://antlr.org
ants,2.5.0,6,panjf2000,https://github.com/panjf2000/ants
antvis/G6,4.1.3,67,AntV team,https://g6.antv.vision/
anyhow,1.0.57,0,dtolnay,https://github.com/dtolnay/anyhow
aodh,9.0.1,162,OpenStack,https://opendev.org/openstack/aodh
aosp common kernel,5.10,0,Google,https://android.googlesource.com/kernel/common/
aosp/arm-trusted-firmware,2.5,0,Arm Software,https://github.com/ARM-software/arm-trusted-firmware
Apache ActiveMQ,5.15.14,128,Apache,http://activemq.apache.org/index.html
Apache Airflow,2.0.1,96,apache,https://airflow.apache.org
Apache Ant,1.10.12,22,Apache,http://ant.apache.org/
Apache APISIX,2.10.2,52,apache,https://apisix.apache.org/
Apache Arrow,3.0.0,1,Apache,https://arrow.apache.org/
Apache Avro,1.11.0,65,apache,http://avro.apache.org
Apache Axiom,1.3.0,102,Apache Software Foundation,http://ws.apache.org/axiom/
Apache Axis2/Java,1.8.0,127,Apache Software Foundation,http://ws.apache.org/axis2/
Apache Batik,1.14,6,The Apache Software Foundation,http://xml.apache.org/batik/index.html
Apache Beam,2.31.0,103,Apache Beam,http://beam.apache.org
Apache Bval,2.0.5,1,Apache,https://bval.apache.org/
Apache Calcite,1.26.0,207,Apache,https://calcite.apache.org
Apache Calcite Avatica,1.17.0,17,Apache,https://calcite.apache.org/avatica/
Apache Camel,3.11.7,8,apache,https://camel.apache.org
Apache CarbonData,2.2.0,677,Apache,https://carbondata.apache.org/
Apache Commons BeanUtils,1.9.4,2,Apache Software Foundation,http://commons.apache.org/proper/commons-beanutils/
Apache Commons CLI,1.5.0,0,Apache,https://commons.apache.org/proper/commons-cli/
Apache Commons Codec,1.15,0,Apache,https://commons.apache.org/proper/commons-codec/
Apache Commons Collections,4.4,0,Apache,http://commons.apache.org/proper/commons-collections/
Apache Commons Compress,1.21,0,apache,http://commons.apache.org/compress/
Apache Commons Configuration,2.8.0,3,apache,https://commons.apache.org/proper/commons-configuration/
Apache Commons Configuration,2.7,3,apache,https://commons.apache.org/proper/commons-configuration/
Apache Commons Daemon,1.2.4,0,apache,https://commons.apache.org/proper/commons-daemon/
Apache Commons DbUtils,1.7,0,The Apache Software Foundation,http://commons.apache.org/proper/commons-dbutils/index.html
Apache Commons Email,1.5,2,apache,http://commons.apache.org/proper/commons-email/
Apache Commons FileUpload,1.4,1,apache,http://commons.apache.org/proper/commons-fileupload/index.html
Apache Commons IO,2.11.0,0,Apache,http://commons.apache.org/proper/commons-io/
Apache Commons JEXL,3.2.1,1,apache,https://commons.apache.org/proper/commons-jexl/
Apache Commons Lang,3.12.0,0,Apache,http://commons.apache.org/lang/
Apache Commons Net,3.8.0,0,apache,https://commons.apache.org/proper/commons-net/
Apache Commons Pool,2.11.1,0,apache,http://commons.apache.org/proper/commons-pool/
